User,Tweet,lat,long
LEOHAWKLETCXVI,#jmr #juanmartinezruiz,47.6694141,-122.1238767
damascus111,"@cour2d2 @overwatchleague @PlayOverwatch You are right. We had some bugs as we went live, working on the fix now!",47.6038321,-122.3300624
CarterSteinhoff,@Ben_Jammer @omnivoyance Do you think of smegma as gross when in a woman’s vagina? It is just a secretion from muco… https://t.co/n40VYYrx1D,47.6144219,-122.1923372
MikeythePoet,Dems must not allow pres Trump to subvert the Constitution of the US for his own benefit &amp; because he is unable to… https://t.co/OyDx6tZSQg,47.40675955,-122.152032
zeikm2000,I’ve learned more drake and PND songs were made to personally attack me than I originally thought...,47.6038321,-122.3300624
collboilerup,Yeeeeeeeeeaaaaa boiiii,47.6116666,-122.6509786
IAFFL3711,"Today, firefighters responded to a fire alarm @ Moran Vista Care Facility After taking care of the minor problem, t… https://t.co/hgHW9CVRwN",38.8950092,-77.0365625
Dean_Min_Travel,"@jimgeraghty Louis Pasteur said, ""Fortune favors the prepared mind"" (or prepared blackmail files, whatever)",47.6038321,-122.3300624
jessejshumaker,Don't fall for the banana in the tailpipe ppl! The only national emergency is #Russia,47.3826903,-122.2270272
KristinaFulps,"Scrumptious dinner! 
#happyvalentinesday #bestplacestogo #pugetsound #pacificnorthwest #pnwonderland #food #pnw… https://t.co/1VFFJIMIBL",47.1714085,-122.5164
EVDOINWORK,NOPE KEEP OUR TEAM NAME OUT YOUR DAMN MOUTH,47.6038321,-122.3300624
hallegill27,.... i hated every second of this video,47.6038321,-122.3300624
ivyclamazon,"Happy Valentine’s Day.
I want to play with you, don’t you want to be my toy?

I’m accepting Amazon gift cards today… https://t.co/736jON4PJ3",47.2495798,-122.4398746
Teriwho,@GRKennels Congratulations to a stunning team,47.2061882,-122.2312383
knakao,"@rakeshlobster @timoreilly Awesome article, the other over-funded industry was group deals which you helped expose.… https://t.co/EaWwgh2XMc",47.7558829,-122.3410427
elyseperez06,@16DOTkom @GRinger34 We don’t need this negative energy.,47.6038321,-122.3300624
TevinsAGenius,Young MA got all the hoes,47.2495798,-122.4398746
PeachesandTyler,This is so thoughtful,47.40675955,-122.152032
SeattleMomof2,One last minute.,47.6038321,-122.3300624
Kjt200,Why don’t these tweets go viral,47.6038321,-122.3300624
preinsko,@Nartist @chrislhayes #inners #Maddow Unfortunately that factoid has gone into the memory hole!,47.6088445,-122.0423067
PacmanJenkins,@brokenbaddie This really takin off. I ain’t got nothing to promote but y’all hit me with that follow and I’ll foll… https://t.co/r5f3PhIwAO,47.6038321,-122.3300624
BillThatcher11,"@NightlyPolitics Why do so many Republicans get excited about ""owning people""? Slavery-Envy?!",47.6038321,-122.3300624
CartierStennis,@JenniferNatalie @kumailn @austinjevers @danlapidus @NYC_LAE @gettin2Jazzy I’m so with you. They’re terrible! Like… https://t.co/wop7R3ckUz,47.6038321,-122.3300624
Toblerone_DOTUS,@rockedfaces Oh no Tiffany I’m so sorry. We your twitter fam and we got u if you need us.,47.6038321,-122.3300624
TimKerrick,@jenstatsky Abbi is the dentist right?,47.6038321,-122.3300624
samuraidel,@txnyg @trev0rp https://t.co/UghkSj4eP3,47.6038321,-122.3300624
montrealdesign,"@SMC459 @StuCowan1 .. said it then and I'll repeat it now, Julien will use that 4th line more than Kotkaniemi...

#goClaudeGo",61.0666922,-107.9917071
Davidh655,"#galaxychocolatecats #cats #chocolatecat @ Interbay, Seattle https://t.co/clLL9JqSiS",47.6038321,-122.3300624
jojotastic,@sassykitchen Isn’t it???? I had to watch it twice to fill wrap my mind around it.,47.6038321,-122.3300624
EthanDrawsStuff,@dopegirlfresh The boo-boo stain makes me want to peel my skin off,47.6038321,-122.3300624
T_Swain,@KimKardashian When she bragging to all her girls about all the sweet things you did for her on Valentines Day and… https://t.co/fwBMZ8uo4S,47.2481166,-122.312837
wsdot_sw,"Disabled vehicle blocking on SR 142 both directions, at milepost 23 near Glenwood Road, use caution and expect dela… https://t.co/s3sY2Al4DM",38.8950092,-77.0365625
cjergens,"Seriously, @BellevueChamber? #waleg",47.6038321,-122.3300624
NormansNews,When you get an email like this - you know you are doing something right!! https://t.co/3DFA416We2,38.8950092,-77.0365625
chloe_kiiirk,yo where tf is Seattle,47.2495798,-122.4398746
leerayl,"@DerekPells Same :/ finally got it last night, 2 trucks delivered at the same time",40.0238245,-75.31734069
PeachesandTyler,@keeruh2 @brookebennett21 A VIBE,47.40675955,-122.152032
OYCKUI,No vlog but I’m dropping something light on Friday... stay tuned https://t.co/nc38FED3vl,47.6144219,-122.1923372
pbmitch_manning,Speaking the truth,47.6038321,-122.3300624
bryand85,@BhavishaPatel @JMorenoReports @Dustin_L_Lane @12thMax @antmay @tslauson We gonna hit those spots and let the wait… https://t.co/tyPuyM4IKs,47.1714085,-122.5164
lilith2u,@BeautyBind Cat litter,47.6038321,-122.3300624
kjweers,https://t.co/ALfSlSSzez,47.4799078,-122.2034496
23_billingsley,I feel you bro,40.0238245,-75.31734069
TheLord_Jeybro,"Funny guy was introducing himself to a seemingly hot babe...

""I am Douglas, but you can call me Dougie""

Three of… https://t.co/thj2OiNzvK",61.0666922,-107.9917071
CribbageForum,@melvingibbs I’ve yet to see Lester Bowie’s diatribe about Hancock’s mist commercial ‘80s funk albums (in a Downbea… https://t.co/blltjHB0dz,47.6038321,-122.3300624
preinsko,@birdaileen And not a shot was fired! #Maddow https://t.co/tXGj9x4U2T,47.6088445,-122.0423067
rentonprep,"Valentine's day STEM! Kindergarten Prep used candy hearts to build a structure, then tested to see if their structu… https://t.co/rOsTIvufdu",47.6038321,-122.3300624
GlenCoco626,@AnaSofaKingCoo Literally carbon copies lmao,47.1849009,-122.2921406
MikeythePoet,@TheNormaJeane @BuzzFeed @jacobinmag I live in seattle. Its a victory for NY not having them 80% of the jobs are pa… https://t.co/Z0RMB9b4pt,47.40675955,-122.152032
sissynsas,@GavinNewsom “We the People” want our 3 billion  back! Democrats claimed if they built it they would come WHO? You… https://t.co/D42V49M0Ac,47.3826903,-122.2270272
Bluetalefly1969,Ann and TRUMP should join the “mysterious “ Honduran Caravan...,47.6038321,-122.3300624
kelsohoops,20-10 Kelso up Bangin refs letting everything go (unfortunately),47.1849009,-122.2921406
retail_recruit,@jilevin Time to get this guy off the national stage: one extortionist at a time is more than enough.,61.0666922,-107.9917071
kjweers,https://t.co/xEPOItNk0y,47.4799078,-122.2034496
Ryan_Terese,*Thinks about how much the craft beer industry has exploded in the last decade* https://t.co/ZT9fx6JaEf,-32.22386,115.68274
SwedishCareers,"If you're looking for work in Seattle, WA, check out this job: https://t.co/cSMsp0dYDT #SwedishJobs #Insurance",47.6038321,-122.3300624
Hippie509,@patrickjcreates @TeeJayFoReal @CrimsonVIII @Zabwow1 how’s it hanging today? https://t.co/JmlHxetvtb,38.8950092,-77.0365625
RikeMalston,@alex1bryant @TroyRobinson7 Fueling gaming sessions / last minute beer runs since I can remember,47.6038321,-122.3300624
madeline_down,"For those wondering, I played a hell of an Aunt Sponge in my elementary production of James and Giant Peach. https://t.co/NzRhCjfh3e",47.5766324,-122.2276378
resetexe,@self_robot @caleschupman Do you do Bar Miztfahs?,47.6038321,-122.3300624
mercury973,@celticlass1031 Congrats!!!!,47.6038321,-122.3300624
oogmar,"""Annoying burn distracting you? Try bisecting the tip of your thumb. It'll take your mind right off of it.""

Ow. Ow… https://t.co/mAptFGzlEY",38.8950092,-77.0365625
CCS_Cougars_AD,"Final:

Cascade Christian—50
Seattle Christian—27

The Cougars will face Bellevue Christian in the WCD3 semifinal t… https://t.co/0txa62eg2Q",47.1849009,-122.2921406
EstepCarla,"@ananavarro @PrincessBravato He’s like trump, he thinks that wig and dressing like a dandy will make him look young… https://t.co/57v1VXCxlu",47.44298,-122.095795
swvalley,"Final WesKing Boys
@IHSvikingBball 67
@KamiakHoops 56
Viks move on in the WesKing Tournament. https://t.co/k0ZoghIi06",47.760475,-122.2205602
Goldrushcomic,@Dune_Cast And...i am 100% out. Lol,47.6038321,-122.3300624
DJSureal,"@brisbanebee But, but, but she covered ""I Feel For You"" by Prince.",47.6038321,-122.3300624
alexandrak,"@heysi @HrishiHirway If it’s not about you, don’t worry, my dude.",47.6038321,-122.3300624
kuchanj,"Have a sweet #ValentinesDay
It is celebrated worldwide with open expressions of love. It truly is a day when love i… https://t.co/X9IPZab6wL",47.560212,-122.383072
TMC_Teo,TETRIS 99 IS COMING FOR EM,41.5910641,-93.6037149
brigge,"@kazweida @Variety he'll ya!  jussie is the gay Tupac!
he beat those attackers back while talking to his agent on t… https://t.co/fTBmTKgQhI",38.8950092,-77.0365625
CoreyOlomon,I want to #win Beauty Care Choices Valentine #giveaway. https://t.co/N1IVxvv3uy,47.7558829,-122.3410427
RHOCOM,@GOPLeader Where were you when CA GOP Rep. Duncan Hunter attacked his Democratic challenger Ammar Campa-Najjar for… https://t.co/9qWwZYtxaE,47.3657791,-122.100222
markowenmartin,@TMGBiosciences https://t.co/CHgxkYrLxR,47.2495798,-122.4398746
labubbakeith,IF I GET STUCK ONE MORE FUCKING TIME IM GOING DOWN TO CITY HALL AND LITERALLY FUCKING MURDERING SOMEBODY,47.448536,-122.1575131
TomCunning3,@MikeCaudill360 @dauteuilda @WalshFreedom The Senate is not competent to investigate anything! Let Mueller do his j… https://t.co/irUrZRYUei,38.8950092,-77.0365625
Press_Inter,https://t.co/Rc8pJQiWhK,38.8950092,-77.0365625
FrancoisLalague,"All #smiles 
#birthdaydinner @ Spanaway, Washington https://t.co/D4jcW6Tptb",47.0979462,-122.4243422
PF_Spear,@DangeRussWilson @ciara @MercedesBenz Ever gonna go off road?  #waste,47.6038321,-122.3300624
the_Neb,@DzDownUnder @ckolacia @toddmonroe6 @kc10sooner @tarheelmark @PatrickKiser1 @NorahODonnell @ScottPelley @60Minutes https://t.co/AaWKMjPyt1,47.4799078,-122.2034496
tomrucker1953,@brycetache You’re an idiot,47.8023821,-122.2586266
jvshvv,Claim u a shooter but u dump out the roof!!!,47.6038321,-122.3300624
tmorasch,There was no crisis when he deployed the military to the border the week before the election. There was no emergenc… https://t.co/i5mUZSqern,47.3657791,-122.100222
bigmalx,Meet my new friend Squeeze. He is my valentine's day gift from my lovely wife Heidi. She knows me O too well!… https://t.co/RLX6kZgFGW,47.4449086,-122.2830842
GlamBunnys,I really want a stuffed animal of the monster from #TheMaskedSinger,47.6859573,-122.1920249
Goldrushcomic,There is way more sexual harassment in the 1998 Godzilla movie then I remembered.,47.6038321,-122.3300624
RR_Anderson,@MotherJones trump a spy,47.2495798,-122.4398746
BillThatcher11,@mschlapp you are such a stupid f**k. Enjoy your stupid fantasy. You will be buried by the 2020 election. You thoug… https://t.co/5zpMOfMw31,47.6038321,-122.3300624
